id,start,end,maxspeed,junction
l_0,n_id0,n_id1,20 mph,None
l_1,n_id2,n_id3,20 mph,None
l_2,n_id4,n_id5,20 mph,None
l_3,n_id6,n_id7,20 mph,None
l_4,n_id8,n_id9,20 mph,None
l_5,n_id10,n_id11,20 mph,None
l_6,n_id12,n_id13,20 mph,None
l_7,n_id14,n_id15,20 mph,None
l_8,n_id16,n_id17,30 mph,None
l_9,n_id18,n_id19,30 mph,None
l_10,n_id20,n_id21,30 mph,None
l_11,n_id22,n_id23,None,None
l_12,n_id24,n_id25,None,None
l_13,n_id26,n_id27,None,None
l_14,n_id28,n_id29,None,None
l_15,n_id30,n_id31,30 mph,None
l_16,n_id32,n_id33,30 mph,None
l_17,n_id34,n_id35,30 mph,None
l_18,n_id36,n_id37,30 mph,None
l_19,n_id38,n_id39,30 mph,None
l_20,n_id40,n_id41,30 mph,None
l_21,n_id42,n_id43,30 mph,None
l_22,n_id44,n_id45,30 mph,None
l_23,n_id46,n_id47,30 mph,None
l_24,n_id48,n_id49,30 mph,None
l_25,n_id50,n_id51,30 mph,None
l_26,n_id52,n_id53,20 mph,None
l_27,n_id54,n_id55,20 mph,None
l_28,n_id56,n_id57,None,None
l_29,n_id58,n_id59,None,None
l_30,n_id60,n_id61,None,None
l_31,n_id62,n_id63,None,None
l_32,n_id64,n_id65,None,None
l_33,n_id66,n_id67,None,None
l_34,n_id68,n_id69,20 mph,None
l_35,n_id70,n_id71,20 mph,None
l_36,n_id72,n_id73,20 mph,None
l_37,n_id74,n_id75,20 mph,None
l_38,n_id76,n_id77,20 mph,None
l_39,n_id78,n_id79,20 mph,None
l_40,n_id80,n_id81,20 mph,None
l_41,n_id82,n_id83,20 mph,None
l_42,n_id84,n_id85,20 mph,None
l_43,n_id86,n_id87,20 mph,None
l_44,n_id88,n_id89,20 mph,None
l_45,n_id90,n_id91,20 mph,None
l_46,n_id92,n_id93,20 mph,None
l_47,n_id94,n_id95,20 mph,None
l_48,n_id96,n_id97,20 mph,None
